CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT)
2.6,1360,150,11.9,1046,166,1056,113
2,1292,112,9.4,955,103,1174,92
2.2,1402,88,9,939,131,1140,114
2.2,1376,80,9.2,948,172,1092,122
1.6,1272,51,6.5,836,131,1205,116
1.2,1197,38,4.7,750,89,1337,96
1.2,1185,31,3.6,690,62,1462,77
1,1136,31,3.3,672,62,1453,76
0.9,1094,24,2.3,609,45,1579,60
0.6,1010,19,1.7,561,-200,1705,47
-200,1011,14,1.3,527,21,1818,34
0.7,1066,8,1.1,512,16,1918,28
0.7,1052,16,1.6,553,34,1738,48
1.1,1144,29,3.2,667,98,1490,82
2,1333,64,8,900,174,1136,112
2.2,1351,87,9.5,960,129,1079,101
1.7,1233,77,6.3,827,112,1218,98
1.5,1179,43,5,762,95,1328,92
1.6,1236,61,5.2,774,104,1301,95
1.9,1286,63,7.3,869,146,1162,112
2.9,1371,164,11.5,1034,207,983,128
2.2,1310,79,8.8,933,184,1082,126
2.2,1292,95,8.3,912,193,1103,131
2.9,1383,150,11.2,1020,243,1008,135
4.8,1581,307,20.8,1319,281,799,151
6.9,1776,461,27.4,1488,383,702,172
6.1,1640,401,24,1404,351,743,165
3.9,1313,197,12.8,1076,240,957,136
1.5,965,61,4.7,749,94,1325,85
1,913,26,2.6,629,47,1565,53
1.7,1080,55,5.9,805,122,1254,97
1.9,1044,53,6.4,829,133,1247,110
1.4,988,40,4.1,718,82,1396,91
0.8,889,21,1.9,574,-200,1680,61.5
-200,831,10,1.1,506,21,1893,32
0.6,847,7,1,501,30,1895,44
0.8,927,17,1.8,571,56,1685,71
1.4,1091,33,4.4,730,109,1387,104
4.4,1587,202,17.9,1236,307,897,141
-200,1545,-200,22.1,1353,-200,767,131.5
3.1,1350,208,14,1118,187,912,122
2.7,1263,166,11.6,1037,216,969,143
2.1,1206,114,10.2,986,143,1035,113
2.5,1252,140,11,1016,160,1008,116
2.7,1287,169,12.8,1078,163,949,123
2.9,1353,185,14.2,1122,190,922,126
2.8,1309,165,12.7,1073,178,954,120
2.4,1274,133,11.7,1041,150,1006,119
